epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4910714328289032,0.6939021348953247,0.000200098,0.47826087474823,0.6934875845909119
1,0.4866071343421936,0.6935917735099792,0.000400096,0.47826087474823,0.6935233473777771
2,0.5044642686843872,0.6984393000602722,0.000600094,0.47826087474823,0.6971490383148193
3,0.6026785969734192,0.6910867094993591,0.000800092,0.52173912525177,0.6897299289703369
4,0.5625,0.6840693354606628,0.00100009,0.6521739363670349,0.6792784929275513
5,0.6607142686843872,0.649278461933136,0.001200088,0.695652186870575,0.6303741335868835
6,0.7544642686843872,0.5361613631248474,0.001400086,0.739130437374115,0.5576009154319763
7,0.7723214030265808,0.45601844787597656,0.001600084,0.739130437374115,0.46299561858177185
8,0.8080357313156128,0.4074108600616455,0.001800082,0.739130437374115,0.6119737029075623
9,0.7857142686843872,0.41423505544662476,0.00200008,0.739130437374115,0.5194949507713318
10,0.7946428656578064,0.42153215408325195,0.002200078,0.739130437374115,0.4549878239631653
11,0.8348214030265808,0.379597932100296,0.002400076,0.739130437374115,0.44200143218040466
12,0.8214285969734192,0.41811448335647583,0.002600074,0.782608687877655,0.5199665427207947
13,0.8214285969734192,0.37102895975112915,0.002800072,0.95652174949646,0.35886573791503906
14,0.8258928656578064,0.3777475953102112,0.00300007,0.8695651888847351,0.3572002351284027
15,0.8303571343421936,0.3615013659000397,0.003200068,0.8695651888847351,0.3078598380088806
16,0.8571428656578064,0.31406471133232117,0.003400066,0.782608687877655,0.37842464447021484
17,0.8571428656578064,0.3408735692501068,0.003600064,0.8695651888847351,0.2658015787601471
18,0.8928571343421936,0.2715800702571869,0.003800062,0.8260869383811951,0.30398499965667725
19,0.8482142686843872,0.34591245651245117,0.00400006,0.8695651888847351,0.25685006380081177
20,0.8660714030265808,0.31949347257614136,0.004200058,0.8260869383811951,0.3207639455795288
21,0.8616071343421936,0.2850094139575958,0.004400056,0.8260869383811951,0.3642677664756775
22,0.8526785969734192,0.34315234422683716,0.004600054,0.782608687877655,0.4072251617908478
23,0.84375,0.3406123220920563,0.004800052,0.8260869383811951,0.41963785886764526
24,0.8705357313156128,0.2941611111164093,0.00500005,0.8695651888847351,0.25078627467155457
25,0.8392857313156128,0.3837153911590576,0.005200048,0.8695651888847351,0.30614331364631653
26,0.8839285969734192,0.30855345726013184,0.005400046,0.8260869383811951,0.3100321888923645
27,0.875,0.2708591818809509,0.005600044,0.8695651888847351,0.2597534656524658
28,0.8348214030265808,0.3421207368373871,0.005800042,0.8695651888847351,0.27313268184661865
29,0.875,0.2917516231536865,0.00600004,0.9130434989929199,0.24658621847629547
30,0.9017857313156128,0.24319137632846832,0.006200038,0.9130434989929199,0.3386700749397278
31,0.8526785969734192,0.3178984224796295,0.006400036,0.8695651888847351,0.2734004855155945
32,0.8839285969734192,0.2711479067802429,0.006600034,0.8260869383811951,0.40759143233299255
33,0.7991071343421936,0.38851481676101685,0.006800032,0.8695651888847351,0.36620575189590454
34,0.8392857313156128,0.3660760223865509,0.00700003,0.8695651888847351,0.2730703353881836
35,0.8973214030265808,0.2606687545776367,0.007200028,0.8695651888847351,0.30825984477996826
36,0.8616071343421936,0.3495185375213623,0.007400026,0.8695651888847351,0.3866879343986511
37,0.8883928656578064,0.28839799761772156,0.007600024,0.8695651888847351,0.24650466442108154
38,0.8303571343421936,0.3501703143119812,0.007800022,0.8695651888847351,0.2805810868740082
39,0.8883928656578064,0.2768893539905548,0.00800002,0.8695651888847351,0.311734676361084
40,0.8258928656578064,0.41325539350509644,0.008200018,0.8260869383811951,0.44547322392463684
41,0.78125,0.5233168005943298,0.008400016,0.782608687877655,0.42899903655052185
42,0.7633928656578064,0.6700247526168823,0.008600014,0.8695651888847351,0.3710502088069916
43,0.78125,0.46397802233695984,0.008800012,0.6086956262588501,1.0235307216644287
44,0.8482142686843872,0.38851335644721985,0.00900001,0.8695651888847351,0.26536890864372253
45,0.8839285969734192,0.30397897958755493,0.009200008,0.8260869383811951,0.3085245192050934
46,0.8482142686843872,0.3467140793800354,0.009400006,0.9130434989929199,0.267060250043869
47,0.8928571343421936,0.29567503929138184,0.009600004,0.8695651888847351,0.22465880215168
48,0.8928571343421936,0.2607424855232239,0.009800002,0.9130434989929199,0.24084603786468506
49,0.8482142686843872,0.3150598704814911,0.01,0.782608687877655,0.5204149484634399
50,0.7991071343421936,0.4554358124732971,0.009800002,0.8695651888847351,0.35043832659721375
51,0.8214285969734192,0.398891419172287,0.009600004,0.9130434989929199,0.2624407112598419
52,0.8839285969734192,0.31140998005867004,0.009400006,0.9130434989929199,0.2490038275718689
53,0.8660714030265808,0.33326205611228943,0.009200008,0.8695651888847351,0.2816069722175598
54,0.8616071343421936,0.29903164505958557,0.00900001,0.9130434989929199,0.2372797280550003
55,0.90625,0.25891485810279846,0.008800012,0.8695651888847351,0.2488395869731903
56,0.8928571343421936,0.2836133539676666,0.008600014,0.9130434989929199,0.23249074816703796
57,0.9107142686843872,0.24045738577842712,0.008400016,0.8695651888847351,0.22359806299209595
58,0.9151785969734192,0.20324264466762543,0.008200018,0.9130434989929199,0.26504069566726685
59,0.90625,0.2614671587944031,0.00800002,0.8695651888847351,0.2617197334766388
60,0.84375,0.4059546887874603,0.007800022,0.8695651888847351,0.2881181240081787
61,0.8526785969734192,0.3419037461280823,0.007600024,0.8695651888847351,0.25075218081474304
62,0.9107142686843872,0.23236913979053497,0.007400026,0.8695651888847351,0.20865295827388763
63,0.8839285969734192,0.2856559455394745,0.007200028,0.8260869383811951,0.5003517270088196
64,0.8169642686843872,0.4215196967124939,0.00700003,0.8695651888847351,0.3593156337738037
