epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.53125,0.6924929022789001,0.000200098,0.4385964870452881,0.6933801174163818
1,0.4765625,0.6957618594169617,0.000400096,0.5087719559669495,0.6925530433654785
2,0.51953125,0.6930729150772095,0.000600094,0.4912280738353729,0.6917968988418579
3,0.54296875,0.6904988884925842,0.000800092,0.7017543911933899,0.6839359402656555
4,0.67578125,0.6762706637382507,0.00100009,0.719298243522644,0.6453896164894104
5,0.7265625,0.6095612049102783,0.001200088,0.6491228342056274,0.5371696352958679
6,0.76953125,0.4884406626224518,0.001400086,0.7543859481811523,0.4994117319583893
7,0.7734375,0.4722015857696533,0.001600084,0.7543859481811523,0.45248353481292725
8,0.75,0.4526071548461914,0.001800082,0.8070175647735596,0.4351597726345062
9,0.8125,0.4012422561645508,0.00200008,0.6666666865348816,0.5249693393707275
10,0.7734375,0.4331851899623871,0.002200078,0.7017543911933899,0.4528982937335968
11,0.82421875,0.39465102553367615,0.002400076,0.8245614171028137,0.3972051441669464
12,0.84765625,0.3959415555000305,0.002600074,0.7368420958518982,0.43206915259361267
13,0.8359375,0.38094502687454224,0.002800072,0.8070175647735596,0.3695332705974579
14,0.83984375,0.3484441041946411,0.00300007,0.8421052694320679,0.34386658668518066
15,0.83984375,0.3527674973011017,0.003200068,0.8947368264198303,0.35337987542152405
16,0.8828125,0.3011613190174103,0.003400066,0.9122806787490845,0.25356245040893555
17,0.859375,0.3414055407047272,0.003600064,0.7719298005104065,0.6540822982788086
18,0.765625,0.4676094353199005,0.003800062,0.7894737124443054,0.39991089701652527
19,0.82421875,0.3634420335292816,0.00400006,0.8070175647735596,0.3834362328052521
20,0.78515625,0.424222469329834,0.004200058,0.7894737124443054,0.39824751019477844
21,0.84375,0.3342457413673401,0.004400056,0.859649121761322,0.38345465064048767
22,0.86328125,0.31232428550720215,0.004600054,0.8421052694320679,0.3155152201652527
23,0.8828125,0.2791207730770111,0.004800052,0.7894737124443054,0.36112818121910095
24,0.76171875,0.4535330533981323,0.00500005,0.8771929740905762,0.34678810834884644
25,0.8671875,0.3541943430900574,0.005200048,0.8421052694320679,0.31674182415008545
26,0.8515625,0.343876451253891,0.005400046,0.8947368264198303,0.28147754073143005
27,0.828125,0.3264913260936737,0.005600044,0.8245614171028137,0.357774019241333
28,0.88671875,0.29298391938209534,0.005800042,0.859649121761322,0.2990250885486603
29,0.8359375,0.3695015609264374,0.00600004,0.859649121761322,0.3284212648868561
30,0.87890625,0.28203052282333374,0.006200038,0.8771929740905762,0.28529301285743713
31,0.85546875,0.31178373098373413,0.006400036,0.9122806787490845,0.25515058636665344
32,0.86328125,0.2946803569793701,0.006600034,0.9122806787490845,0.2752419710159302
33,0.87890625,0.3130243718624115,0.006800032,0.859649121761322,0.3060529828071594
34,0.8984375,0.2583056688308716,0.00700003,0.859649121761322,0.28640660643577576
35,0.80859375,0.44338178634643555,0.007200028,0.7543859481811523,0.39802899956703186
36,0.8203125,0.3761500418186188,0.007400026,0.8070175647735596,0.3552379310131073
37,0.87109375,0.31796687841415405,0.007600024,0.8947368264198303,0.26098039746284485
38,0.8515625,0.3257446885108948,0.007800022,0.8771929740905762,0.2825079560279846
39,0.83984375,0.34811699390411377,0.00800002,0.8245614171028137,0.4035378694534302
40,0.83203125,0.3611089587211609,0.008200018,0.7543859481811523,0.41079822182655334
41,0.890625,0.2788754403591156,0.008400016,0.8421052694320679,0.31001368165016174
42,0.84765625,0.349808931350708,0.008600014,0.8070175647735596,0.4065471589565277
43,0.88671875,0.29107439517974854,0.008800012,0.9122806787490845,0.31811273097991943
44,0.82421875,0.44782131910324097,0.00900001,0.7894737124443054,0.8124940395355225
45,0.67578125,4.5777082443237305,0.009200008,0.5087719559669495,5.294912338256836
46,0.54296875,129.72262573242188,0.009400006,0.5087719559669495,3853.980712890625
47,0.546875,484.7098388671875,0.009600004,0.5087719559669495,84.46444702148438
48,0.53125,61.15180206298828,0.009800002,0.5087719559669495,1.9381000995635986
49,0.53515625,3.512826681137085,0.01,0.5087719559669495,3.272280216217041
50,0.578125,1.2648829221725464,0.009800002,0.7368420958518982,0.5253773331642151
51,0.62109375,0.6953544020652771,0.009600004,0.8245614171028137,0.48316267132759094
52,0.6640625,0.6491262912750244,0.009400006,0.8421052694320679,0.4239877462387085
53,0.78515625,0.4627704322338104,0.009200008,0.8421052694320679,0.4034214913845062
54,0.7890625,0.45575520396232605,0.00900001,0.719298243522644,0.4154798686504364
55,0.7421875,0.5253192186355591,0.008800012,0.7017543911933899,0.5438158512115479
