mz,label,100.9624,103.0613,103.979,105.0359,105.9874,106.9899,108.9946,112.0954,112.9272,114.9272,116.9335,117.0349,118.0356,119.0217,119.9586,121.01,121.9624,122.9648,124.978,128.0738,129.0498,129.9781,131.0527,133.0269,134.0618,135.0443,136.0992,136.9794,138.1071,138.9487,140.1215,140.9487,142.0968,142.963,144.0526,145.0293,145.9673,147.0347,147.975,148.9988,150.0389,151.0187,152.0701,152.9878,154.1323,154.9179,156.0913,156.921,158.0758,158.9326,160.086,161.0056,161.9455,162.1002,163.0078,163.9447,164.9734,166.0233,166.9912,168.016,169.0033,169.1116,170.0886,170.8958,172.8947,174.0566,174.9053,175.0478,176.1063,177.9223,178.0752,178.9848,179.9247,180.0552,180.9465,182.0087,182.9424,184.1189,185.0816,186.009,186.9672,188.1137,188.9818,189.9668,191.0889,192.0794,193.0435,194.0488,194.9451,196.0331,196.9194,198.1352,198.9184,200.0912,200.9768,201.9828,202.9369,203.1002,204.1116,205.016,205.9424,207.0658,208.0619,209.0655,210.1017,210.989,214.0993,214.8932,216.0664,216.8895,220.1049,220.9874,221.9182,223.0378,225.0456,226.0842,226.9472,228.9831,232.0434,234.9643,235.1081,236.0897,237.0519,238.9339,242.0655,242.9152,249.1192,250.944,253.0242,254.9021,265.0862,268.9947,275.0035,290.981
Discovery_1,0,0.323631,0.490364,0.232528,0.257863,0.165113,0.343242,0.219091,0.109707,0.126499,0.111893,0.285894,0.449038,0.189274,0.48093,0.0593514,0.233028,0.0298296,0.0429977,0.35094,0.0724071,0.0265799,0.347296,0.306054,0.236368,0.13283,0.0738275,0.148113,0.0778442,0.16614,0.458012,0.0925629,0.266738,0.202415,0.316668,0.28308,0.389089,0.517397,0.413777,0.331755,0.197026,0.102281,0.0544849,0.085662,0.076877,0.0874821,0.55428,0.0575592,0.0999821,0.133784,0.082461,0.113419,0.379889,0.319043,0.0989823,0.433586,0.320387,0.179083,0.0266988,0.0112657,0.0348781,0.0637206,0.305931,0.0810146,0.193245,0.182324,0.0747813,0.0990258,0.107619,0.0903997,0.0991657,0.0960028,0.249703,0.0789221,0.0693913,0.169235,0.0320584,0.117319,0.181991,0.132598,0.0566929,0.120256,0.11342,0.0151897,0.0944016,0.289609,0.110447,0.127299,0.029091,0.130593,0.0236826,0.0783023,0.146588,0.084293,0.182214,0.133753,0.0105863,0.10156,0.253905,0.189477,0.0677296,0.1668,0.230247,0.0409715,0.0784886,0.0863662,0.120567,0.0721851,0.062944,0.118976,0.0819632,0.108941,0.303259,0.0488912,0.0425891,0.0490877,0.0961554,0.188845,0.125181,0.0145685,0.0977506,0.068208,0.101904,0.0617413,0.100668,0.0501261,0.0562041,0.248126,0.111499,0.0664272,0.0504985,0.119752,0.0425767,0.08114,0.0687359
Discovery_2,0,0.195298,0.450802,0.147426,0.169822,0.091393,0.22262,0.131721,0.102749,0.147355,0.130183,0.0550382,0.25525,0.122712,0.376362,0.0436482,0.154436,0.0186268,0.0261953,0.223206,0.143898,0.0169068,0.170672,0.255811,0.279003,0.0870974,0.0378115,0.199302,0.0556789,0.21173,0.214194,0.152584,0.173453,0.26844,0.202413,0.194222,0.223385,0.211129,0.499889,0.135118,0.254795,0.104211,0.0365739,0.123731,0.0414711,0.13126,0.372672,0.111101,0.0740657,0.127823,0.0689907,0.0913759,0.261568,0.163974,0.0996902,0.514468,0.148477,0.167915,0.0421878,0.00831079,0.0208338,0.327594,0.429532,0.145486,0.298871,0.172174,0.0732882,0.07946,0.194322,0.0846591,0.0579829,0.144264,0.216348,0.0424604,0.0914009,0.154814,0.0332209,0.0560247,0.383076,0.205647,0.117544,0.254126,0.158912,0.0253817,0.0327749,0.274695,0.13655,0.114764,0.0442698,0.239341,0.037099,0.0629947,0.244673,0.0426889,0.170922,0.0641688,0.0232651,0.118594,0.297746,0.231929,0.0536533,0.0645825,0.24966,0.0603229,0.0500293,0.082804,0.342105,0.0828875,0.0368015,0.326326,0.0486071,0.131658,0.228495,0.0230535,0.0299089,0.0307008,0.0853009,0.239189,0.333531,0.0323945,0.0761337,0.0811204,0.123952,0.274623,0.0716779,0.0448193,0.0390274,0.113146,0.0752947,0.313849,0.190751,0.0798602,0.259575,0.365854,0.372986
Discovery_3,0,0.255417,0.307622,0.335017,0.274577,0.244307,0.347919,0.158522,0.116938,0.182896,0.164008,0.0867745,0.325329,0.131871,0.398142,0.117889,0.316583,0.0652135,0.0551575,0.266716,0.0768984,0.0219596,0.206613,0.247758,0.385582,0.175808,0.0815748,0.074882,0.136005,0.084146,0.169956,0.0891077,0.214261,0.113733,0.26749,0.242462,0.274241,0.27603,0.729526,0.209585,0.457642,0.203396,0.0882653,0.0561973,0.0894543,0.0697511,0.304321,0.0757774,0.0915648,0.101683,0.0925751,0.0756057,0.367797,0.243665,0.111323,0.651926,0.260769,0.278515,0.0681368,0.0281143,0.0374166,0.169475,0.267128,0.288391,0.165491,0.155223,0.0826035,0.085297,0.139818,0.0908833,0.106965,0.143416,0.250481,0.0989522,0.0904322,0.253603,0.0485279,0.0711623,0.976701,0.144457,0.295431,0.232367,0.0858899,0.0295991,0.0684651,0.296711,0.157792,0.131203,0.0418691,0.139968,0.0390431,0.111964,0.441276,0.0484596,0.181668,0.094122,0.056037,0.182111,0.282036,0.226929,0.0553884,0.131242,0.322325,0.0759068,0.0911463,0.0847199,0.216573,0.100697,0.0345961,0.155142,0.0482513,0.106144,0.289161,0.048764,0.058399,0.047173,0.155345,0.236996,0.276807,0.0231334,0.0936143,0.12354,0.119958,0.0712953,0.132012,0.105092,0.0595748,0.135699,0.110371,0.0920608,0.0395239,0.104257,0.0784216,0.111828,0.123737
Discovery_4,0,0.353118,0.489682,0.411052,0.361581,0.330056,0.444919,0.202472,0.0870511,0.176078,0.160279,0.368557,0.482155,0.244479,0.537668,0.121492,0.354369,0.0670284,0.0713989,0.312816,0.113174,0.0179766,0.417774,0.356705,0.419668,0.191558,0.0790973,0.116716,0.139081,0.112377,0.29288,0.0659922,0.235,0.169141,0.308529,0.375634,0.408306,0.479266,0.61352,0.31913,0.413592,0.183841,0.0665445,0.0742735,0.117976,0.0312623,0.425641,0.0749649,0.093587,0.172908,0.0884951,0.142526,0.457349,0.338451,0.111114,0.535239,0.344889,0.276683,0.0616772,0.0184034,0.0409647,0.172223,0.218176,0.328516,0.182994,0.174241,0.150933,0.100517,0.137593,0.0829869,0.119073,0.138942,0.24626,0.0973807,0.112833,0.257875,0.0605181,0.0919728,0.450937,0.129142,0.258473,0.205462,0.108759,0.0264212,0.0883894,0.349911,0.117255,0.167,0.0337536,0.158123,0.0432222,0.0974062,0.187846,0.0533244,0.331934,0.0917714,0.0411671,0.199905,0.226067,0.148633,0.065189,0.14277,0.290588,0.0549508,0.0807393,0.125431,0.206297,0.140772,0.0349975,0.174534,0.0469959,0.0899083,0.268677,0.0445203,0.0538556,0.0381169,0.123535,0.19541,0.207994,0.023278,0.0831218,0.10853,0.143805,0.0460903,0.10551,0.0588257,0.0456613,0.124499,0.0886309,0.0496537,0.0312138,0.0732028,0.0313707,0.0612554,0.0515068
Discovery_5,0,0.834186,0.75098,0.710116,0.597638,0.674345,0.745654,0.505279,0.146092,0.306991,0.285903,0.466366,0.672597,0.549526,0.842973,0.234616,0.663583,0.163767,0.128219,0.603678,0.207289,0.0189861,0.485414,0.633662,0.710757,0.331757,0.0624294,0.482903,0.280134,0.245391,0.329921,0.353709,0.467931,0.330466,0.718918,0.654127,0.654864,0.623853,0.896576,0.531118,0.752228,0.361073,0.0561403,0.295331,0.200796,0.319279,0.561492,0.350625,0.196305,0.488299,0.226782,0.306299,0.75158,0.515601,0.482189,0.849397,0.665524,0.524997,0.154265,0.0201709,0.0960402,0.307703,0.584555,0.188542,0.320186,0.304619,0.279981,0.184697,0.287662,0.455649,0.226623,0.492871,0.492063,0.232692,0.26228,0.537348,0.12085,0.184166,0.544269,0.285089,0.119744,0.431106,0.417247,0.0553407,0.203568,0.745752,0.532016,0.300996,0.155347,0.323199,0.0990014,0.233001,0.408716,0.110753,0.637457,0.208835,0.0270626,0.515323,0.422401,0.366898,0.122954,0.320911,0.699116,0.232735,0.218972,0.448623,0.343016,0.318312,0.0836817,0.364072,0.120162,0.338605,0.56396,0.106933,0.153572,0.136038,0.445427,0.512554,0.492979,0.0583764,0.195738,0.766941,0.38893,0.0783149,0.283474,0.208346,0.150147,0.504736,0.221484,0.0904585,0.0724718,0.28254,0.0738705,0.110645,0.115091
Discovery_6,0,0.573699,0.501391,0.528445,0.387547,0.474312,0.73031,0.45743,0.134287,0.269617,0.249215,0.381607,0.583811,0.317422,0.643212,0.198625,0.513656,0.137493,0.132671,0.571846,0.173295,0.0750971,0.392681,0.466548,0.306314,0.162938,0.153061,0.221012,0.252136,0.0959268,0.319782,0.155174,0.473498,0.239206,0.567656,0.444655,0.506918,0.551576,0.462178,0.462384,0.352705,0.210567,0.161827,0.19847,0.229832,0.125655,0.572543,0.128788,0.212971,0.265021,0.211619,0.0672112,0.662956,0.548025,0.170987,0.599893,0.696175,0.330492,0.0976238,0.0599223,0.118168,0.149772,0.346731,0.248103,0.338298,0.336671,0.167125,0.167911,0.161489,0.131008,0.27825,0.230555,0.489578,0.288706,0.182302,0.426031,0.0884374,0.172001,0.162394,0.233381,0.302181,0.178365,0.227271,0.0528977,0.198388,0.313425,0.208065,0.244698,0.0896967,0.31267,0.113511,0.220102,0.247777,0.132676,0.194947,0.224564,0.0807421,0.414136,0.387897,0.294586,0.0872222,0.404154,0.361926,0.106128,0.213519,0.18639,0.149594,0.132979,0.127372,0.153712,0.177859,0.209338,0.47382,0.167565,0.114057,0.14838,0.205413,0.419439,0.14993,0.032041,0.204931,0.12648,0.251586,0.0169332,0.338037,0.122808,0.171224,0.221554,0.262072,0.0266481,0.0694398,0.178868,0.0222613,0.0297318,0.0337154
Discovery_7,0,0.311361,0.764941,0.237772,0.334091,0.160817,0.267996,0.259381,0.135857,0.107281,0.0941832,0.35598,0.510103,0.254807,0.572992,0.0427378,0.236965,0.0200389,0.033596,0.405463,0.0913428,0.024144,0.455968,0.497781,0.499747,0.21339,0.0989412,0.147107,0.0625936,0.23317,0.50271,0.115455,0.278704,0.370153,0.418154,0.390638,0.459943,0.512366,0.718014,0.348169,0.359705,0.141223,0.0573685,0.0692097,0.0884953,0.0879297,0.499707,0.0741651,0.0818745,0.211419,0.0844944,0.193719,0.360022,0.226514,0.144192,0.509016,0.252115,0.27606,0.0344924,0.00980258,0.0288735,0.297955,0.41594,0.340645,0.305697,0.120574,0.116852,0.122374,0.255294,0.120429,0.0447764,0.13512,0.178334,0.0395899,0.121372,0.228389,0.0388398,0.133614,0.675409,0.126512,0.194985,0.27652,0.169635,0.0282817,0.088512,0.441129,0.157982,0.140683,0.0308411,0.402161,0.0435476,0.0851517,0.321421,0.0766981,0.29399,0.121004,0.0240628,0.161108,0.258412,0.186727,0.0799741,0.118529,0.269323,0.0512397,0.0704347,0.147624,0.391731,0.179638,0.0443998,0.195446,0.0596797,0.203971,0.309788,0.0279198,0.0434538,0.0460847,0.106022,0.334907,0.295648,0.0180034,0.0911601,0.0906846,0.15696,0.168258,0.080179,0.040732,0.0544867,0.184871,0.0999839,0.143853,0.0889385,0.0790788,0.0855903,0.184418,0.134897
Discovery_8,0,0.325244,0.466906,0.412153,0.388347,0.321421,0.461083,0.289298,0.0934335,0.165755,0.148561,0.305263,0.480606,0.239182,0.540177,0.121003,0.398002,0.0667912,0.0660483,0.405404,0.113187,0.0189201,0.304523,0.352824,0.398164,0.156538,0.0571287,0.163566,0.144522,0.0623428,0.232044,0.10271,0.291029,0.167364,0.365776,0.38019,0.425857,0.45554,0.685013,0.33749,0.397475,0.165,0.0509075,0.0827747,0.113988,0.103729,0.367071,0.0790437,0.106051,0.147888,0.106312,0.0649784,0.464846,0.345852,0.148358,0.61035,0.389473,0.294765,0.0608507,0.0135479,0.0412284,0.157757,0.443592,0.22598,0.16729,0.158122,0.127807,0.101179,0.152843,0.134846,0.125477,0.176173,0.302089,0.118576,0.0945816,0.304827,0.0666105,0.117493,0.574905,0.189462,0.171867,0.222081,0.152774,0.027452,0.136351,0.470086,0.205471,0.136568,0.0464079,0.175848,0.0430516,0.116936,0.345733,0.0678108,0.340851,0.108062,0.0297476,0.232603,0.370211,0.299703,0.0784447,0.20439,0.420612,0.078525,0.0889846,0.163766,0.205966,0.124589,0.0456712,0.211387,0.0544616,0.187443,0.363895,0.0667526,0.0748679,0.0521219,0.199406,0.297027,0.234151,0.0283302,0.121068,0.288239,0.184197,0.0671158,0.160313,0.0995244,0.0892432,0.251425,0.135655,0.0721932,0.0336278,0.144214,0.0464838,0.0909466,0.0792039
Discovery_9,0,0.306855,0.155361,0.597619,0.291382,0.524117,0.494151,0.215262,0.162156,0.324079,0.30169,0.197762,0.260613,0.177875,0.322155,0.330602,0.478278,0.25137,0.1243,0.32136,0.202592,0.0327535,0.122904,0.205928,0.328717,0.217503,0.100651,0.30526,0.285677,0.130969,0.0810714,0.217011,0.328959,0.205942,0.351471,0.243805,0.203051,0.211592,0.432257,0.176377,0.57608,0.384607,0.151289,0.352909,0.135851,0.152958,0.233663,0.289157,0.194303,0.229122,0.188803,0.104192,0.371217,0.331963,0.213826,0.57602,0.374804,0.375164,0.237287,0.0813634,0.0723912,0.143338,0.458254,0.172036,0.232772,0.224166,0.167217,0.131886,0.111076,0.184808,0.261891,0.375054,0.357786,0.235366,0.239406,0.321993,0.150409,0.080231,0.363973,0.341878,0.194054,0.182084,0.204385,0.035154,0.09399,0.429403,0.353523,0.218171,0.173422,0.173759,0.109375,0.218757,0.302177,0.0709784,0.256832,0.130777,0.0702304,0.231205,0.381218,0.32384,0.0450005,0.227124,0.670386,0.221322,0.164188,0.210756,0.117228,0.113297,0.0726938,0.255933,0.0949473,0.251747,0.210685,0.128333,0.240289,0.0986587,0.336361,0.23087,0.239157,0.060486,0.100289,0.613893,0.347357,0.0220336,0.243548,0.270012,0.0991133,0.47904,0.138905,0.0432932,0.0285203,0.525139,0.0553904,0.0424813,0.0738498
